Severity,Start_Lat,Start_Lng,Distance(mi),Side,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Civil_Twilight
2,39.789322,-84.239105,0.01,1,39.9,34.5,65.0,29.61,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.75872,-84.183762,0.0,1,39.2,35.9,75.0,29.62,10.0,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.081459,-83.122398,0.01,1,37.0,31.6,89.0,29.61,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.83321,-84.112946,0.0,0,34.2,31.2,97.0,29.66,10.0,3.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.042725,-82.997307,0.01,1,33.8,28.6,100.0,29.62,6.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.994766,-83.02449,0.01,1,33.1,26.1,92.0,29.63,7.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40.006477,-83.030991,1.09,1,33.1,25.5,92.0,29.63,9.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,39.742062,-84.186996,0.01,0,23.0,11.7,93.0,29.65,5.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.843521,-82.78157,0.01,1,23.0,11.7,93.0,29.63,2.5,11.5,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,39.782578,-84.178688,0.01,1,22.8,11.5,89.0,29.69,4.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40.007626,-82.912155,0.01,1,26.6,18.2,86.0,29.62,1.5,8.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.447502,-84.191208,0.0,1,21.0,10.6,85.0,29.67,0.8,9.2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.787731,-84.173439,0.01,1,23.0,12.4,86.0,29.71,3.0,10.4,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,39.426277,-83.624611,0.01,1,19.9,6.7,89.0,29.75,1.8,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.978306,-82.852554,0.01,1,25.0,15.5,88.0,29.65,1.0,9.2,0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,39.84182,-84.189606,0.01,1,23.0,10.1,88.0,29.66,2.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,39.953625,-82.958954,0.01,1,25.0,15.5,88.0,29.65,1.0,9.2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40.053082,-83.049644,0.01,1,26.1,15.0,84.0,29.63,2.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,39.936874,-82.878723,0.01,1,24.8,16.1,86.0,29.64,1.0,8.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.780643,-84.16349,0.01,1,23.0,11.7,86.0,29.68,4.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,39.773193,-84.187454,0.01,1,23.0,11.7,86.0,29.68,4.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.77858,-84.204681,0.01,0,21.9,9.8,92.0,29.71,2.0,12.7,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.792988,-84.20607,0.01,1,21.9,9.8,92.0,29.71,2.0,12.7,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.770382,-84.194901,0.01,1,21.9,9.8,92.0,29.71,2.0,12.7,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.976398,-83.119225,0.01,1,21.2,8.3,93.0,29.66,1.5,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.6395,-84.231361,0.01,1,21.0,10.6,85.0,29.69,1.2,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.232578,-84.159286,0.01,1,21.0,10.6,93.0,29.73,2.5,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.746593,-84.23912,0.01,0,21.9,9.8,92.0,29.68,2.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.742783,-84.182472,0.01,1,22.5,12.4,90.0,29.73,1.2,9.2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.75452,-84.159279,0.01,1,22.5,12.4,90.0,29.73,1.2,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.749916,-84.139359,0.01,1,22.5,12.4,90.0,29.73,1.2,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.100903,-82.984108,0.01,1,24.8,16.1,86.0,29.65,1.8,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.772808,-84.201851,0.0,1,21.2,8.9,93.0,29.69,2.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.492485,-84.131798,0.01,1,21.0,10.6,81.0,29.7,1.2,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.570904,-84.251724,0.01,1,21.0,10.6,81.0,29.7,1.2,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.834282,-82.74382,0.0,1,21.9,10.4,85.0,29.7,0.8,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.622787,-84.229858,0.01,1,21.0,10.6,81.0,29.7,1.2,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.429871,-84.079666,0.01,1,21.0,10.6,81.0,29.7,1.2,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.407391,-81.646767,0.01,1,32.0,22.5,82.0,29.58,10.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.424404,-81.578674,0.01,1,32.0,22.5,82.0,29.58,10.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.89217,-83.039169,0.01,1,21.2,9.5,93.0,29.69,5.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41.022358,-83.650345,0.01,0,27.0,13.5,81.0,29.64,2.5,19.6,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.206806,-84.053253,0.0,1,16.2,4.7,81.0,29.95,5.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.973797,-83.022285,0.01,0,15.8,2.7,73.0,29.87,4.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40.048008,-82.86422,0.0,1,15.8,2.7,73.0,29.87,4.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.814526,-84.021744,0.01,1,15.4,1.0,82.0,29.95,7.0,13.8,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3,40.151196,-84.220032,0.01,1,14.0,-1.4,93.0,29.89,7.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.954617,-82.844238,0.01,1,15.1,4.2,77.0,29.92,1.0,8.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,38.990551,-84.207497,0.01,1,15.8,6.1,88.0,29.96,1.8,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.008995,-83.002678,0.0,0,16.0,1.7,81.0,29.91,1.5,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.077332,-84.225014,0.0,0,15.8,2.7,84.0,29.97,4.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.955452,-82.795845,0.01,1,16.0,4.4,77.0,29.93,1.0,9.2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,40.224586,-82.929085,0.01,1,17.6,5.0,79.0,29.87,3.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.976398,-83.119225,0.01,1,15.8,3.4,79.0,29.91,1.5,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.985603,-82.939247,0.01,1,17.1,3.0,77.0,29.96,1.5,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.040714,-81.613144,0.01,1,19.9,8.6,81.0,29.89,1.0,10.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,41.083679,-81.579002,1.28,0,19.9,7.3,78.0,29.87,4.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.766891,-82.42411,0.01,1,16.0,2.9,77.0,29.97,7.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,41.422199,-81.843018,0.01,1,14.0,0.5,56.0,30.14,9.0,11.5,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,41.063995,-81.572945,0.01,0,14.0,1.2,74.0,30.03,4.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.747753,-84.205582,0.01,1,7.0,-5.7,87.0,30.22,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,41.420818,-81.694008,0.01,1,17.1,-0.3,59.0,30.12,10.0,21.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40.030342,-83.030197,0.01,1,6.1,-6.8,83.0,30.22,10.0,8.1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.858089,-82.827904,0.01,1,5.0,-2.1,81.0,30.2,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.112324,-81.609924,0.01,1,12.0,0.5,80.0,30.08,2.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.355396,-81.819267,0.01,1,15.1,-1.6,51.0,30.18,10.0,18.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.751038,-84.214325,0.01,1,7.5,-1.1,87.0,30.28,10.0,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.749916,-84.139359,0.01,1,7.5,-1.1,87.0,30.28,10.0,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.97509,-82.884605,0.01,0,12.0,2.7,70.0,30.27,9.0,5.8,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,40.11195,-83.016663,0.48,1,12.0,1.5,77.0,30.26,10.0,6.9,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,41.424313,-81.57914,0.01,1,18.0,-0.2,54.0,30.16,10.0,25.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.769173,-84.207283,0.0,1,10.9,0.2,77.0,30.29,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.75452,-84.159279,0.01,1,13.6,7.7,74.0,30.32,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.874947,-83.003937,0.01,1,10.4,2.2,78.0,30.25,10.0,4.6,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,39.769596,-84.176964,0.01,1,13.6,7.7,74.0,30.32,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.776417,-84.23027,0.0,1,18.0,6.1,68.0,30.32,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.64185,-84.227455,0.0,0,18.0,8.7,54.0,30.31,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.760284,-84.196434,0.01,1,18.5,7.5,62.0,30.32,10.0,9.2,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.802528,-84.220093,0.01,0,19.9,9.3,65.0,30.32,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.828781,-84.198395,0.01,0,19.9,9.3,65.0,30.32,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.733337,-84.180359,0.01,0,21.6,13.0,49.0,30.3,10.0,6.9,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.759426,-84.138367,0.01,0,21.6,13.0,49.0,30.3,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.783615,-84.227531,0.0,0,21.0,14.6,57.0,30.32,10.0,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.74004,-84.194923,0.01,1,21.0,11.4,57.0,30.33,10.0,8.1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
3,39.735199,-84.204948,0.01,1,21.0,11.4,57.0,30.33,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.749035,-84.204742,0.01,1,21.0,11.4,51.0,30.34,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.995369,-82.985085,0.01,1,17.1,11.7,62.0,30.35,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.749786,-84.199493,0.0,0,26.6,14.3,59.0,30.04,10.0,16.1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.780331,-84.195076,0.01,1,25.5,12.9,66.0,30.11,7.0,16.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.109928,-82.978203,1.67,1,23.0,11.1,80.0,30.03,3.0,12.7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,40.11195,-83.016663,0.94,1,19.0,1.6,71.0,30.14,5.0,24.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,40.112156,-83.035072,0.94,1,19.0,1.6,71.0,30.14,5.0,24.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,39.871761,-82.933449,2.79,1,19.9,3.2,62.0,30.13,10.0,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.934517,-82.860657,0.01,1,16.0,1.7,68.0,30.25,10.0,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40.02404,-82.994797,0.01,1,10.0,-4.5,44.0,30.54,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.014015,-81.932777,0.01,1,8.1,-8.4,61.0,30.48,10.0,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.575069,-82.528145,0.01,0,7.0,-8.3,58.0,30.49,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.996578,-84.216805,0.01,1,10.9,-1.8,51.0,30.57,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.986324,-82.985458,0.01,1,12.9,-3.4,43.0,30.53,10.0,16.1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,40.013062,-82.90213,0.01,1,12.9,-3.4,43.0,30.53,10.0,16.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.981709,-82.98436,0.01,1,10.0,0.4,70.0,30.52,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.953022,-82.998894,0.01,1,12.9,-0.2,65.0,30.5,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.973812,-82.983162,0.01,1,12.9,-0.2,65.0,30.5,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.978306,-82.852554,0.01,1,15.8,3.4,79.0,30.24,0.5,10.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,39.469582,-83.712799,0.01,1,23.0,13.9,96.0,30.09,2.5,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.63958,-84.234818,0.01,0,23.0,13.9,92.0,29.97,1.5,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.975986,-82.996307,0.71,1,21.9,14.5,89.0,30.06,5.0,5.8,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,39.951401,-83.040161,0.01,1,22.8,13.6,96.0,30.02,3.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.96888,-83.022263,2.04,1,23.0,15.8,86.0,30.03,3.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.804295,-84.178917,0.01,0,23.0,15.8,96.0,30.03,0.2,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.831444,-84.097267,0.0,0,24.1,17.0,98.0,30.04,1.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.890587,-83.035385,0.01,1,24.8,17.9,100.0,30.01,1.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.808121,-84.173477,0.01,1,24.1,18.2,96.0,30.02,0.8,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41.410461,-81.725853,0.0,0,21.0,9.3,85.0,30.1,4.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.747753,-84.205582,0.01,1,24.1,18.2,96.0,30.02,0.8,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.6395,-84.231361,0.01,1,26.1,17.6,92.0,30.01,4.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.94537,-82.887444,0.01,0,24.1,17.0,91.0,30.06,1.0,5.8,0.01,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2,39.79813,-84.244797,0.01,0,25.0,17.1,96.0,29.99,0.8,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,40.081715,-82.89576,0.01,1,24.1,17.0,91.0,30.06,1.0,5.8,0.01,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,41.111031,-81.550728,0.0,1,23.0,15.8,85.0,30.03,2.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.082016,-82.937119,0.01,1,26.1,19.4,88.0,30.06,1.0,5.8,0.01,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.763363,-84.15535,0.0,0,27.0,23.0,98.0,30.04,2.5,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.740063,-84.191833,0.01,1,32.0,26.4,100.0,29.99,1.5,5.8,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.99876,-82.625221,0.01,1,32.0,24.8,85.0,29.99,5.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.740063,-84.191833,0.01,1,32.0,26.4,100.0,29.98,4.0,5.8,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.99519,-82.868591,0.01,1,30.9,23.5,89.0,29.99,2.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,41.395805,-81.935562,0.0,1,33.1,27.7,82.0,29.95,7.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.887058,-82.883263,0.01,1,33.6,30.6,94.0,29.86,7.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,40.977516,-82.790749,0.0,1,32.0,26.4,100.0,29.88,0.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40.11195,-83.016663,0.01,1,32.0,24.8,100.0,29.71,1.2,8.1,0.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,41.150993,-81.631393,0.01,1,34.0,28.0,89.0,29.67,1.2,6.9,0.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,39.824703,-83.141228,0.01,1,32.2,25.8,100.0,29.7,3.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.885872,-82.806198,0.0,1,32.0,26.4,99.0,29.69,2.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40.11195,-83.016663,0.01,1,33.1,26.1,96.0,29.71,5.0,8.1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,40.099171,-83.134499,0.01,1,33.1,26.1,96.0,29.71,5.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40.012829,-83.109131,0.01,1,32.0,23.0,96.0,29.71,5.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,40.048183,-82.945183,0.01,1,32.0,23.6,92.0,29.71,2.0,10.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.77792,-84.246872,0.0,0,30.9,22.2,96.0,29.78,2.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.917412,-83.014236,1.65,1,32.2,25.8,100.0,29.69,4.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,41.313236,-81.810959,0.01,1,32.0,24.8,92.0,29.73,1.8,8.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.691998,-84.043655,0.01,1,32.0,24.8,88.0,29.76,3.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.852417,-82.938606,0.01,1,32.0,24.8,99.0,29.7,7.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,39.956909,-83.044914,0.01,1,32.0,25.6,100.0,29.72,3.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.602947,-82.951836,0.01,1,32.0,23.6,99.0,29.71,7.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.891884,-83.087547,0.01,1,32.0,25.6,100.0,29.72,3.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.785084,-84.210564,0.01,1,30.0,21.1,100.0,29.75,2.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,40.1105,-82.977524,0.01,1,32.0,24.2,96.0,29.75,3.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.757088,-82.50975,0.01,0,30.0,21.1,100.0,29.73,5.0,10.4,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,41.063995,-81.572945,0.01,0,34.0,28.0,89.0,29.68,1.8,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.004749,-82.867638,0.01,1,32.0,24.8,88.0,29.75,5.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.033955,-83.000862,0.01,1,32.0,24.2,96.0,29.75,3.0,9.2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,38.929512,-83.495262,1.65,1,30.9,22.8,100.0,29.76,1.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.973419,-83.081558,0.01,0,32.0,28.7,100.0,29.77,2.5,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.797958,-84.255135,0.01,1,30.0,23.2,96.0,29.79,1.5,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,40.057369,-82.903717,0.01,1,32.0,24.8,88.0,29.78,4.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.847927,-82.848274,0.01,1,32.0,26.4,97.0,29.76,3.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.051949,-83.032806,0.01,1,32.0,26.4,96.0,29.78,2.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.051949,-83.032806,0.01,1,33.1,24.9,92.0,29.77,2.5,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.772823,-84.135612,0.0,1,31.1,25.4,88.0,29.86,6.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
